
Host: UIO-5CG2126K37

Timers On : Fri Nov 22 13:31:19 2024
Timers Off: Fri Nov 22 13:32:55 2024

Wall Time:       96.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form D                          :      0.000u      0.000s      0.001w    163 calls
HF: DIIS                            :      0.633u      0.000s      0.266w    147 calls
HF: Form C                          :      0.000u      0.000s      0.038w    147 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.050u      0.000s      0.032w     16 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.015w     16 calls
DFH: initialize()                   :      0.867u      0.050s      0.951w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.017w     32 calls
| DFH: AO Construction              :      0.250u      0.000s      0.176w     16 calls
| DFH: AO-Met. Contraction          :      0.033u      0.000s      0.022w     16 calls
HF: Form core H                     :      0.033u      0.017s      0.112w     16 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w     16 calls
HF: Guess                           :      1.050u      0.217s      1.996w     16 calls
| SAD Guess                         :      0.983u      0.217s      1.975w     16 calls
HF: Form G                          :      1.500u      0.000s      0.935w    163 calls
| JK: D                             :      0.000u      0.000s      0.001w    163 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    163 calls
| JK: JK                            :      1.450u      0.000s      0.927w    163 calls
| | DFH: compute_JK()               :      0.133u      0.000s      0.065w    130 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    130 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.011w    130 calls
| | | DFH: compute_K                :      0.100u      0.000s      0.048w    130 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.035w     33 calls
| | build_JK_matrices()             :      1.233u      0.000s      0.785w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    163 calls
HF: Form F                          :      0.000u      0.000s      0.001w    163 calls
HF: Form D                          :      0.000u      0.000s      0.001w    163 calls
HF: DIIS                            :      0.633u      0.000s      0.266w    147 calls
HF: Form C                          :      0.000u      0.000s      0.038w    147 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Wed Dec 11 15:48:20 2024
Timers Off: Wed Dec 11 15:48:30 2024

Wall Time:       10.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.033s      0.033w     16 calls
Libint2ERI::Libint2ERI              :      0.033u      0.033s      0.071w     81 calls
DFH: initialize()                   :      0.817u      0.067s      0.988w     16 calls
DFH: AO Construction                :      0.317u      0.000s      0.192w     16 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.021w     16 calls
HF: Form core H                     :      0.017u      0.100s      0.106w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     16 calls
HF: Guess                           :      1.033u      0.167s      1.858w     16 calls
SAD Guess                           :      1.033u      0.167s      1.840w     16 calls
HF: Form G                          :      1.483u      0.000s      0.925w    163 calls
JK: D                               :      0.000u      0.000s      0.001w    163 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    163 calls
JK: JK                              :      1.467u      0.000s      0.917w    163 calls
DFH: compute_JK()                   :      0.083u      0.000s      0.075w    130 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    130 calls
DFH: compute_J                      :      0.017u      0.000s      0.012w    130 calls
DFH: compute_K                      :      0.067u      0.000s      0.056w    130 calls
build_JK_matrices()                 :      1.333u      0.000s      0.765w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    163 calls
HF: Form F                          :      0.000u      0.000s      0.001w    163 calls
HF: Form D                          :      0.000u      0.000s      0.001w    163 calls
HF: DIIS                            :      0.450u      0.000s      0.291w    147 calls
HF: Form C                          :      0.083u      0.000s      0.041w    147 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.033s      0.033w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.033s      0.014w     16 calls
DFH: initialize()                   :      0.817u      0.067s      0.988w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.019w     32 calls
| DFH: AO Construction              :      0.317u      0.000s      0.192w     16 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.021w     16 calls
HF: Form core H                     :      0.017u      0.100s      0.106w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     16 calls
HF: Guess                           :      1.033u      0.167s      1.858w     16 calls
| SAD Guess                         :      1.033u      0.167s      1.840w     16 calls
HF: Form G                          :      1.483u      0.000s      0.925w    163 calls
| JK: D                             :      0.000u      0.000s      0.001w    163 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    163 calls
| JK: JK                            :      1.467u      0.000s      0.917w    163 calls
| | DFH: compute_JK()               :      0.083u      0.000s      0.075w    130 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    130 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.012w    130 calls
| | | DFH: compute_K                :      0.067u      0.000s      0.056w    130 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.037w     33 calls
| | build_JK_matrices()             :      1.333u      0.000s      0.765w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    163 calls
HF: Form F                          :      0.000u      0.000s      0.001w    163 calls
HF: Form D                          :      0.000u      0.000s      0.001w    163 calls
HF: DIIS                            :      0.450u      0.000s      0.291w    147 calls
HF: Form C                          :      0.083u      0.000s      0.041w    147 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Wed Dec 11 15:52:37 2024
Timers Off: Wed Dec 11 15:53:03 2024

Wall Time:       26.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.041w     16 calls
Libint2ERI::Libint2ERI              :      0.133u      0.000s      0.137w    136 calls
DFH: initialize()                   :      1.033u      0.050s      0.969w     16 calls
DFH: AO Construction                :      0.333u      0.000s      0.163w     16 calls
DFH: AO-Met. Contraction            :      0.033u      0.000s      0.025w     16 calls
HF: Form core H                     :      0.050u      0.033s      0.130w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     16 calls
HF: Guess                           :      0.983u      0.300s      2.356w     16 calls
SAD Guess                           :      0.983u      0.300s      2.328w     16 calls
HF: Form G                          :      4.000u      0.000s      2.502w    250 calls
JK: D                               :      0.000u      0.000s      0.002w    250 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    250 calls
JK: JK                              :      4.000u      0.000s      2.489w    250 calls
DFH: compute_JK()                   :      0.117u      0.000s      0.088w    162 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.000w    162 calls
DFH: compute_J                      :      0.017u      0.000s      0.015w    162 calls
DFH: compute_K                      :      0.083u      0.000s      0.065w    162 calls
build_JK_matrices()                 :      3.533u      0.000s      2.197w     88 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      1.150u      0.000s      0.476w    234 calls
HF: Form C                          :      0.067u      0.000s      0.069w    234 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.041w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.019w     16 calls
DFH: initialize()                   :      1.033u      0.050s      0.969w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.021w     32 calls
| DFH: AO Construction              :      0.333u      0.000s      0.163w     16 calls
| DFH: AO-Met. Contraction          :      0.033u      0.000s      0.025w     16 calls
HF: Form core H                     :      0.050u      0.033s      0.130w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     16 calls
HF: Guess                           :      0.983u      0.300s      2.356w     16 calls
| SAD Guess                         :      0.983u      0.300s      2.328w     16 calls
HF: Form G                          :      4.000u      0.000s      2.502w    250 calls
| JK: D                             :      0.000u      0.000s      0.002w    250 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    250 calls
| JK: JK                            :      4.000u      0.000s      2.489w    250 calls
| | DFH: compute_JK()               :      0.117u      0.000s      0.088w    162 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.000w    162 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.015w    162 calls
| | | DFH: compute_K                :      0.083u      0.000s      0.065w    162 calls
| | Libint2ERI::Libint2ERI          :      0.133u      0.000s      0.097w     88 calls
| | build_JK_matrices()             :      3.533u      0.000s      2.197w     88 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      1.150u      0.000s      0.476w    234 calls
HF: Form C                          :      0.067u      0.000s      0.069w    234 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Wed Dec 11 15:59:52 2024
Timers Off: Wed Dec 11 16:00:04 2024

Wall Time:       12.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.000s      0.030w     16 calls
Libint2ERI::Libint2ERI              :      0.167u      0.000s      0.118w    136 calls
DFH: initialize()                   :      0.867u      0.183s      0.982w     16 calls
DFH: AO Construction                :      0.333u      0.000s      0.179w     16 calls
DFH: AO-Met. Contraction            :      0.067u      0.000s      0.025w     16 calls
HF: Form core H                     :      0.050u      0.033s      0.126w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     16 calls
HF: Guess                           :      0.933u      0.217s      2.002w     16 calls
SAD Guess                           :      0.900u      0.217s      1.982w     16 calls
HF: Form G                          :      4.033u      0.000s      2.413w    250 calls
JK: D                               :      0.000u      0.000s      0.002w    250 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    250 calls
JK: JK                              :      4.033u      0.000s      2.401w    250 calls
DFH: compute_JK()                   :      0.150u      0.000s      0.078w    162 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    162 calls
DFH: compute_J                      :      0.033u      0.000s      0.013w    162 calls
DFH: compute_K                      :      0.117u      0.000s      0.059w    162 calls
build_JK_matrices()                 :      3.633u      0.000s      2.147w     88 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.617u      0.000s      0.412w    234 calls
HF: Form C                          :      0.050u      0.000s      0.063w    234 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.030w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w     16 calls
DFH: initialize()                   :      0.867u      0.183s      0.982w     16 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.021w     32 calls
| DFH: AO Construction              :      0.333u      0.000s      0.179w     16 calls
| DFH: AO-Met. Contraction          :      0.067u      0.000s      0.025w     16 calls
HF: Form core H                     :      0.050u      0.033s      0.126w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     16 calls
HF: Guess                           :      0.933u      0.217s      2.002w     16 calls
| SAD Guess                         :      0.900u      0.217s      1.982w     16 calls
HF: Form G                          :      4.033u      0.000s      2.413w    250 calls
| JK: D                             :      0.000u      0.000s      0.002w    250 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    250 calls
| JK: JK                            :      4.033u      0.000s      2.401w    250 calls
| | DFH: compute_JK()               :      0.150u      0.000s      0.078w    162 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    162 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.013w    162 calls
| | | DFH: compute_K                :      0.117u      0.000s      0.059w    162 calls
| | Libint2ERI::Libint2ERI          :      0.083u      0.000s      0.084w     88 calls
| | build_JK_matrices()             :      3.633u      0.000s      2.147w     88 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.617u      0.000s      0.412w    234 calls
HF: Form C                          :      0.050u      0.000s      0.063w    234 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Wed Dec 11 16:04:08 2024
Timers Off: Wed Dec 11 16:04:20 2024

Wall Time:       12.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.033u      0.000s      0.032w     16 calls
Libint2ERI::Libint2ERI              :      0.283u      0.033s      0.116w    136 calls
DFH: initialize()                   :      0.933u      0.150s      1.009w     16 calls
DFH: AO Construction                :      0.333u      0.000s      0.197w     16 calls
DFH: AO-Met. Contraction            :      0.050u      0.000s      0.032w     16 calls
HF: Form core H                     :      0.033u      0.033s      0.119w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     16 calls
HF: Guess                           :      0.917u      0.150s      1.997w     16 calls
SAD Guess                           :      0.883u      0.150s      1.978w     16 calls
HF: Form G                          :      4.050u      0.000s      2.382w    250 calls
JK: D                               :      0.017u      0.000s      0.002w    250 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    250 calls
JK: JK                              :      4.033u      0.000s      2.371w    250 calls
DFH: compute_JK()                   :      0.250u      0.000s      0.081w    162 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    162 calls
DFH: compute_J                      :      0.000u      0.000s      0.014w    162 calls
DFH: compute_K                      :      0.250u      0.000s      0.061w    162 calls
build_JK_matrices()                 :      3.467u      0.000s      2.113w     88 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.517u      0.000s      0.413w    234 calls
HF: Form C                          :      0.100u      0.000s      0.063w    234 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.033u      0.000s      0.032w     16 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.015w     16 calls
DFH: initialize()                   :      0.933u      0.150s      1.009w     16 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.033s      0.018w     32 calls
| DFH: AO Construction              :      0.333u      0.000s      0.197w     16 calls
| DFH: AO-Met. Contraction          :      0.050u      0.000s      0.032w     16 calls
HF: Form core H                     :      0.033u      0.033s      0.119w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     16 calls
HF: Guess                           :      0.917u      0.150s      1.997w     16 calls
| SAD Guess                         :      0.883u      0.150s      1.978w     16 calls
HF: Form G                          :      4.050u      0.000s      2.382w    250 calls
| JK: D                             :      0.017u      0.000s      0.002w    250 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    250 calls
| JK: JK                            :      4.033u      0.000s      2.371w    250 calls
| | DFH: compute_JK()               :      0.250u      0.000s      0.081w    162 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    162 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.014w    162 calls
| | | DFH: compute_K                :      0.250u      0.000s      0.061w    162 calls
| | Libint2ERI::Libint2ERI          :      0.150u      0.000s      0.083w     88 calls
| | build_JK_matrices()             :      3.467u      0.000s      2.113w     88 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.517u      0.000s      0.413w    234 calls
HF: Form C                          :      0.100u      0.000s      0.063w    234 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Wed Dec 11 16:06:30 2024
Timers Off: Wed Dec 11 16:06:43 2024

Wall Time:       12.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.033u      0.000s      0.038w     16 calls
Libint2ERI::Libint2ERI              :      0.167u      0.000s      0.132w    136 calls
DFH: initialize()                   :      0.883u      0.133s      1.061w     16 calls
DFH: AO Construction                :      0.233u      0.000s      0.188w     16 calls
DFH: AO-Met. Contraction            :      0.150u      0.000s      0.024w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.142w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     16 calls
HF: Guess                           :      1.017u      0.300s      2.005w     16 calls
SAD Guess                           :      0.967u      0.300s      1.979w     16 calls
HF: Form G                          :      3.900u      0.000s      2.452w    250 calls
JK: D                               :      0.000u      0.000s      0.002w    250 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    250 calls
JK: JK                              :      3.883u      0.000s      2.440w    250 calls
DFH: compute_JK()                   :      0.050u      0.000s      0.080w    162 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    162 calls
DFH: compute_J                      :      0.000u      0.000s      0.014w    162 calls
DFH: compute_K                      :      0.050u      0.000s      0.060w    162 calls
build_JK_matrices()                 :      3.583u      0.000s      2.167w     88 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.800u      0.000s      0.435w    234 calls
HF: Form C                          :      0.083u      0.000s      0.066w    234 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.033u      0.000s      0.038w     16 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.017w     16 calls
DFH: initialize()                   :      0.883u      0.133s      1.061w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.023w     32 calls
| DFH: AO Construction              :      0.233u      0.000s      0.188w     16 calls
| DFH: AO-Met. Contraction          :      0.150u      0.000s      0.024w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.142w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     16 calls
HF: Guess                           :      1.017u      0.300s      2.005w     16 calls
| SAD Guess                         :      0.967u      0.300s      1.979w     16 calls
HF: Form G                          :      3.900u      0.000s      2.452w    250 calls
| JK: D                             :      0.000u      0.000s      0.002w    250 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    250 calls
| JK: JK                            :      3.883u      0.000s      2.440w    250 calls
| | DFH: compute_JK()               :      0.050u      0.000s      0.080w    162 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    162 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.014w    162 calls
| | | DFH: compute_K                :      0.050u      0.000s      0.060w    162 calls
| | Libint2ERI::Libint2ERI          :      0.133u      0.000s      0.092w     88 calls
| | build_JK_matrices()             :      3.583u      0.000s      2.167w     88 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.800u      0.000s      0.435w    234 calls
HF: Form C                          :      0.083u      0.000s      0.066w    234 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Wed Dec 11 16:10:10 2024
Timers Off: Wed Dec 11 16:10:37 2024

Wall Time:       27.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.033w     16 calls
Libint2ERI::Libint2ERI              :      0.133u      0.000s      0.132w    136 calls
DFH: initialize()                   :      0.917u      0.067s      1.033w     16 calls
DFH: AO Construction                :      0.283u      0.000s      0.215w     16 calls
DFH: AO-Met. Contraction            :      0.083u      0.000s      0.021w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.103w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     16 calls
HF: Guess                           :      1.000u      0.250s      2.222w     16 calls
SAD Guess                           :      0.933u      0.250s      2.196w     16 calls
HF: Form G                          :      4.067u      0.000s      2.491w    250 calls
JK: D                               :      0.000u      0.000s      0.002w    250 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    250 calls
JK: JK                              :      4.067u      0.000s      2.478w    250 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.089w    162 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    162 calls
DFH: compute_J                      :      0.000u      0.000s      0.014w    162 calls
DFH: compute_K                      :      0.033u      0.000s      0.068w    162 calls
build_JK_matrices()                 :      3.717u      0.000s      2.182w     88 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.033s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.900u      0.000s      0.446w    234 calls
HF: Form C                          :      0.067u      0.000s      0.068w    234 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.033w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w     16 calls
DFH: initialize()                   :      0.917u      0.067s      1.033w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.019w     32 calls
| DFH: AO Construction              :      0.283u      0.000s      0.215w     16 calls
| DFH: AO-Met. Contraction          :      0.083u      0.000s      0.021w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.103w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     16 calls
HF: Guess                           :      1.000u      0.250s      2.222w     16 calls
| SAD Guess                         :      0.933u      0.250s      2.196w     16 calls
HF: Form G                          :      4.067u      0.000s      2.491w    250 calls
| JK: D                             :      0.000u      0.000s      0.002w    250 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    250 calls
| JK: JK                            :      4.067u      0.000s      2.478w    250 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.089w    162 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    162 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.014w    162 calls
| | | DFH: compute_K                :      0.033u      0.000s      0.068w    162 calls
| | Libint2ERI::Libint2ERI          :      0.133u      0.000s      0.097w     88 calls
| | build_JK_matrices()             :      3.717u      0.000s      2.182w     88 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.033s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.900u      0.000s      0.446w    234 calls
HF: Form C                          :      0.067u      0.000s      0.068w    234 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Wed Dec 11 16:11:26 2024
Timers Off: Wed Dec 11 16:11:37 2024

Wall Time:       11.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.033s      0.031w     16 calls
Libint2ERI::Libint2ERI              :      0.200u      0.033s      0.118w    136 calls
DFH: initialize()                   :      0.833u      0.083s      0.971w     16 calls
DFH: AO Construction                :      0.200u      0.000s      0.166w     16 calls
DFH: AO-Met. Contraction            :      0.050u      0.000s      0.024w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.117w     16 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w     16 calls
HF: Guess                           :      0.850u      0.267s      1.909w     16 calls
SAD Guess                           :      0.750u      0.267s      1.889w     16 calls
HF: Form G                          :      3.817u      0.000s      2.303w    250 calls
JK: D                               :      0.000u      0.000s      0.002w    250 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    250 calls
JK: JK                              :      3.783u      0.000s      2.292w    250 calls
DFH: compute_JK()                   :      0.167u      0.000s      0.080w    162 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    162 calls
DFH: compute_J                      :      0.033u      0.000s      0.013w    162 calls
DFH: compute_K                      :      0.133u      0.000s      0.061w    162 calls
build_JK_matrices()                 :      3.450u      0.000s      2.039w     88 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.650u      0.000s      0.395w    234 calls
HF: Form C                          :      0.150u      0.017s      0.061w    234 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.050u      0.033s      0.031w     16 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.033s      0.014w     16 calls
DFH: initialize()                   :      0.833u      0.083s      0.971w     16 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w     32 calls
| DFH: AO Construction              :      0.200u      0.000s      0.166w     16 calls
| DFH: AO-Met. Contraction          :      0.050u      0.000s      0.024w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.117w     16 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w     16 calls
HF: Guess                           :      0.850u      0.267s      1.909w     16 calls
| SAD Guess                         :      0.750u      0.267s      1.889w     16 calls
HF: Form G                          :      3.817u      0.000s      2.303w    250 calls
| JK: D                             :      0.000u      0.000s      0.002w    250 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    250 calls
| JK: JK                            :      3.783u      0.000s      2.292w    250 calls
| | DFH: compute_JK()               :      0.167u      0.000s      0.080w    162 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    162 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.013w    162 calls
| | | DFH: compute_K                :      0.133u      0.000s      0.061w    162 calls
| | Libint2ERI::Libint2ERI          :      0.133u      0.000s      0.082w     88 calls
| | build_JK_matrices()             :      3.450u      0.000s      2.039w     88 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.650u      0.000s      0.395w    234 calls
HF: Form C                          :      0.150u      0.017s      0.061w    234 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Wed Dec 11 16:21:16 2024
Timers Off: Wed Dec 11 16:21:28 2024

Wall Time:       11.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.033w     16 calls
Libint2ERI::Libint2ERI              :      0.117u      0.000s      0.115w    136 calls
DFH: initialize()                   :      0.950u      0.083s      1.078w     16 calls
DFH: AO Construction                :      0.350u      0.000s      0.204w     16 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.023w     16 calls
HF: Form core H                     :      0.000u      0.050s      0.100w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     16 calls
HF: Guess                           :      0.900u      0.267s      1.897w     16 calls
SAD Guess                           :      0.850u      0.267s      1.875w     16 calls
HF: Form G                          :      4.033u      0.000s      2.362w    250 calls
JK: D                               :      0.000u      0.000s      0.002w    250 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    250 calls
JK: JK                              :      4.033u      0.000s      2.351w    250 calls
DFH: compute_JK()                   :      0.267u      0.000s      0.077w    162 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    162 calls
DFH: compute_J                      :      0.000u      0.000s      0.013w    162 calls
DFH: compute_K                      :      0.233u      0.000s      0.058w    162 calls
build_JK_matrices()                 :      3.517u      0.000s      2.106w     88 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    250 calls
HF: Form F                          :      0.000u      0.000s      0.002w    250 calls
HF: Form D                          :      0.000u      0.000s      0.001w    250 calls
HF: DIIS                            :      0.667u      0.000s      0.420w    234 calls
HF: Form C                          :      0.117u      0.000s      0.064w    234 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.033w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w     16 calls
DFH: initialize()                   :      0.950u      0.083s      1.078w     16 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w     32 calls
